,stockname,price,dividend-field,cash-dividend,number
0,陽明,61.1,32.73%,20,2609
1,富旺,11.25,30.41%,0.25,6219
2,申豐,57.8,25.95%,15,6582
3,群利,13.8,25.28%,3.488134,7558
4,紘康,53.2,20.47%,10.89,6457
5,陸海,20.65,19.37%,4,5603
6,敦泰,82.9,19.1%,15.8363,3545
7,世豐,59.3,17.93%,3.997866,2065
8,宏遠證,10.05,17.91%,1.8,6015
9,萬海,58.7,17.89%,10.5,2615
10,港建*,35.8,17.6%,6.3,3093
11,撼訊,71.6,15.36%,11,6150
12,欣普羅,34,14.71%,5,6560
13,矽創,224.5,14.25%,32,8016
14,松翰,50.7,13.81%,7,5471
15,華碩,304.5,13.79%,42,2357
16,康和證,11.25,13.78%,1.55,6016
17,皇翔,46.1,13.67%,6.3,2545
18,波力-KY,56.9,13.18%,3,8467
19,愛比科技,38,13.16%,5,6858
20,台驊投控,77.4,13.15%,5,2636
21,瑞鼎,342.5,13.14%,45,3592
22,光群雷,23,13.01%,0.3,2461
23,大田,99,12.98%,12.85,8924
24,智冠,94.1,12.96%,7,5478
25,世鎧,46.35,12.94%,1.5,2063
26,富邦特選高股息30,11.64,12.8%,0.02,00900
27,大展證,18.6,12.79%,2.378206,6020
28,志超,39.55,12.64%,5,8213
29,美亞,23.85,12.58%,3,2020
30,宏璟,23.85,12.58%,3,2527
31,永固-KY,40,12.5%,5,5546
32,宏正,85,12.47%,2.4,6277
33,聯上發,7.23,12.45%,0.9,2537
34,聯詠,414,12.44%,51.5,3034
35,惠特,81.6,12.25%,10,6706
36,上奇,71.5,12.21%,1.252157,6123
37,永信建,65.6,12.2%,8.0061,5508
38,益登,28,12.14%,3.4,3048
39,宏泰,23.1,12.12%,2.8,1612
40,群益證,13.65,12.09%,1.65,6005
41,中鴻,23.25,12.04%,2.8,2014
42,長榮,150,12%,18,2603
43,可成,185.5,11.98%,10.21395,2474
44,進泰電子,88.1,11.92%,2,3465
45,中菲行,85.6,11.92%,10.2,5609
46,大豐電,50.8,11.81%,3,6184
47,神盾,84.7,11.81%,10,6462
48,九齊,68.1,11.75%,8,6494
49,宜新實業,34.1,11.73%,4,4440
50,盛群,69.9,11.62%,8.1229,6202
51,亞聚,26.3,11.41%,3,1308
52,運錩,19.35,11.37%,2.2,2069
53,宏益,17.6,11.36%,2,1452
54,政伸,57.9,11.23%,6.5,8481
55,吉茂,22.35,11.19%,1,1587
56,光寶科,80.7,11.15%,3,2301
57,統一證,16.95,11.15%,1.89,2855
58,南茂,38.7,11.11%,4.3,8150
59,天鈺,153.5,11.07%,17,4961
60,松和,29.8,11.07%,3.3,5016
61,冠軍,9.05,11.05%,1,1806
62,騰輝電子-KY,89.2,10.99%,6.6,6672
63,明安,81.7,10.99%,8.974812,8938
64,科嘉-KY,46.95,10.65%,5,5215
65,中鋼,29.4,10.54%,3.1,2002
66,寶緯,28.45,10.54%,3,4558
67,福邦證,12.15,10.53%,1.28,6026
68,遠雄,61.8,10.52%,2,5522
69,國喬,19.1,10.47%,2,1312
70,海悅,67.7,10.34%,7,2348
71,華夏,24.2,10.33%,2.5,1305
72,聯發科,708,10.31%,73.00106,2454
73,復華富時不動產,8.86,10.27%,0.24,00712
74,雙邦,19.5,10.26%,2,6506
75,晉倫,29.45,10.19%,3,6151
76,凌陽創新,98.5,10.15%,10,5236
77,力山,29.7,10.1%,3,1515
78,盛餘,25.25,10.1%,2.55,2029
79,安格,44.75,10.08%,4.509218,6684
80,增你強,34.15,10.07%,3.438396,3028
81,台達化,20,10%,2,1309
82,立碁,21.15,9.93%,2.1,8111
83,中信中國高股息,11.58,9.93%,0.3,00882
84,百和興業-KY,25.2,9.92%,2.5,8404
85,泰銘,45.5,9.89%,4.5,9927
86,佳必琪,59.9,9.85%,3,6197
87,威健,30.7,9.8%,3.007259,3033
88,凌通,55.1,9.8%,5.4,4952
89,圓點奈米,61.4,9.77%,6,6797
90,加高,30.7,9.77%,3,8182
91,台玻,18.65,9.76%,1.82,1802
92,晶豪科,82.6,9.69%,8,3006
93,新至陞,92.9,9.69%,9,3679
94,友輝,34.35,9.66%,3.317444,4933
95,白紗科,20.85,9.59%,1.998612,8401
96,鼎元,18.3,9.56%,1,2426
97,相互,12.55,9.56%,1.2,6407
98,三聯,53.5,9.53%,3.1,5493
99,達麗,31.65,9.48%,3,6177
100,山太士,18.9,9.46%,1.787703,3595
101,台聚,23.3,9.44%,2.2,1304
102,興富發,42.5,9.43%,4.006508,2542
103,大量,42.4,9.43%,4,3167
104,南亞,79.6,9.42%,7.5,1303
105,詩肯,46.7,9.42%,4.4,6195
106,瑞基,53.2,9.4%,5,4171
107,信義,29.8,9.4%,2.8,9940
108,晶華,287.5,9.33%,12.3925,2707
109,皇龍,32.15,9.33%,3,3512
110,科定,129,9.3%,4,6655
111,弘凱,32.3,9.29%,3,5244
112,弘憶股,21.6,9.26%,2,3312
113,有益,19.5,9.23%,1.8,9962
114,燦坤,43.45,9.21%,4,2430
115,台橡,26.1,9.2%,2.4,2103
116,國喬特,28.3,9.19%,2.6,1312A
117,聯邦銀甲特,52.3,9.18%,2.4,2838A
118,超豐,54.6,9.16%,5,2441
119,捷波,32.85,9.13%,3,6161
120,華擎,142.5,9.12%,13,3515
121,日揚,53.7,9.12%,2.7,6208
122,中再保,19.75,9.11%,1.8,2851
123,智晶,49.2,9.11%,4.482275,5245
124,倍微,23.15,9.07%,2.1,6270
125,頎邦,66.4,9.04%,6,6147
126,堡達,38.75,9.03%,3.5,3537
127,圓展,42.1,9.03%,3.8,3669
128,崧騰,45.55,9%,4.1,3484
129,菱生,14.35,8.98%,1.289127,2369
130,慧洋-KY,61.3,8.97%,5.5,2637
131,銓寶,22.3,8.97%,2,4575
132,鈊象,558,8.96%,50,3293
133,天正國際,50.4,8.93%,4.5,6654
134,茂林-KY,56.1,8.91%,5,4935
135,國泰北美科技,31.42,8.91%,2.8,00770
136,彰源,22.5,8.89%,2,2030
137,信錦,59.8,8.86%,5.3,1582
138,潤泰全,56.5,8.85%,5,2915
139,怡華,17,8.82%,1.5,1456
140,杰力,131.5,8.81%,11.58563,5299
141,台塑,93.2,8.8%,8.2,1301
142,永豐美國500大,25.75,8.78%,1.13,00858
143,樂揚,17.1,8.77%,1.5,2599
144,至上,45.65,8.76%,4,8112
145,禾伸堂,103,8.74%,9,3026
146,聚隆,11.45,8.73%,1,1466
147,久舜,18.35,8.72%,1.6,5547
148,悅城,22.95,8.71%,2,6405
149,豐藝,42.3,8.69%,3.677625,6189
150,笙泉,24.8,8.68%,2.15251,3122
151,互動,73.4,8.67%,6.366141,6486
152,雷虎生,28.95,8.64%,0.5,6493
153,逸昌,30.15,8.62%,2.6,3567
154,慶生,35,8.57%,3,6210
155,昆盈,10.8,8.54%,0.2,2365
156,幸福,15.25,8.52%,0.6,1108
157,達新,70.4,8.52%,3.5,1315
158,晶技,88,8.52%,7.5,3042
159,四維航,23.5,8.51%,2,5608
160,遠壽,11.85,8.44%,1,5859
161,致新,190.5,8.4%,16,8081
162,大毅,47.7,8.39%,4,2478
163,研通,29.8,8.39%,2.5,6229
164,台亞,35.8,8.38%,3.00028,2340
165,嘉威,71.7,8.37%,3,3557
166,冠德,29.9,8.36%,2.5,2520
167,峰源-KY,28.35,8.36%,2.37,6807
168,新洲,18.8,8.35%,1.57,3171
169,正德,17.95,8.34%,1.496611,2641
170,元大台灣高息低波,42.95,8.34%,0.68,00713
171,原相,108.5,8.29%,8.997565,3227
172,典範,12.1,8.25%,0.998,3372
173,華固,91.2,8.22%,7.5,2548
174,云辰,12.2,8.2%,1,2390
175,創見,73.2,8.2%,6,2451
176,能率網通,14.65,8.19%,1.2,8071
177,凌陽,24.45,8.18%,2,2401
178,基士德-KY,55,8.18%,4.5,6641
179,崇越電,73.5,8.16%,6,3388
180,亞電,17.15,8.16%,1.4,4939
181,彩晶,12.2,8.16%,0.9955304,6116
182,新纖,17.2,8.14%,1.4,1409
183,三福化,129.5,8.11%,5,4755
184,隆大,24.65,8.11%,2,5519
185,普達系統,28.45,8.08%,2.3,6599
186,日成-KY,20.6,8.06%,1.659711,4807
187,泰創工程,19.85,8.06%,1.6,6750
188,信大,18.7,8.04%,1.503513,1109
189,展宇,18.65,8.04%,1.5,1776
190,聯陽,112,8.04%,9,3014
191,華宏,31.15,8.03%,2.5,8240
192,華信科,24.95,8.02%,2,3627
193,智基,110,8%,8.8,6294
194,泰博,187,7.99%,14.94479,4736
195,新光鋼,50.1,7.98%,4,2031
196,惠光,37.45,7.97%,2.986371,6508
197,茂綸,42.1,7.96%,3.35,6227
198,國泰金,44.05,7.95%,3.5,2882
199,永豐實,37.8,7.94%,3,6790
200,,,,,
